Experiment,Replicate,Condition,Enhancer,Promoter,Intensity,Vector
E1,P1,Ade-,ACO1,ACO1,28480,22047
E1,P2,Ade-,ACO1,ACO1,27797,23753
E1,P3,Ade-,ACO1,ACO1,28105,24158
E1,P1,Ade-,ACO1,ADE2,31968,22047
E1,P2,Ade-,ACO1,ADE2,27715,23753
E1,P3,Ade-,ACO1,ADE2,30436,24158
E1,P1,Ade-,ACO1,ICL1,25236,22047
E1,P2,Ade-,ACO1,ICL1,23972,23753
E1,P3,Ade-,ACO1,ICL1,26814,24158
E1,P1,Ade-,ACO1,LEU9,22056,22047
E1,P2,Ade-,ACO1,LEU9,20369,23753
E1,P3,Ade-,ACO1,LEU9,21706,24158
E1,P1,Ade-,ACO1,PDC1,47808,22047
E1,P2,Ade-,ACO1,PDC1,49655,23753
E1,P3,Ade-,ACO1,PDC1,45032,24158
E1,P1,Ade-,ACO1,PGK1,28296,22047
E1,P2,Ade-,ACO1,PGK1,28547,23753
E1,P3,Ade-,ACO1,PGK1,29676,24158
E1,P1,Ade-,ACO1,RPL28,26088,22047
E1,P2,Ade-,ACO1,RPL28,26230,23753
E1,P3,Ade-,ACO1,RPL28,28348,24158
E1,P1,Ade-,ACO1,TDH3,37259,22047
E1,P2,Ade-,ACO1,TDH3,41382,23753
E1,P3,Ade-,ACO1,TDH3,39529,24158
E1,P1,Ade-,ACO1,TPI1,36081,22047
E1,P2,Ade-,ACO1,TPI1,39939,23753
E1,P3,Ade-,ACO1,TPI1,37798,24158
E1,P1,Ade-,ADE2,ACO1,31555,22047
E1,P2,Ade-,ADE2,ACO1,27760,23753
E1,P3,Ade-,ADE2,ACO1,32185,24158
E1,P1,Ade-,ADE2,ADE2,34605,22047
E1,P2,Ade-,ADE2,ADE2,34781,23753
E1,P3,Ade-,ADE2,ADE2,34009,24158
E1,P1,Ade-,ADE2,ICL1,26146,22047
E1,P2,Ade-,ADE2,ICL1,25149,23753
E1,P3,Ade-,ADE2,ICL1,28576,24158
E1,P1,Ade-,ADE2,LEU9,23407,22047
E1,P2,Ade-,ADE2,LEU9,20354,23753
E1,P3,Ade-,ADE2,LEU9,26951,24158
E1,P1,Ade-,ADE2,PDC1,56346,22047
