Gene	Enhancer	Promoter	Prime5	Orf	Prime3	End
ACO1	888	1338	1452	1500	3837	4280
ACT1	831	1287	1367	1500	2937	3429
ADE2	815	1385	1429	1500	3216	3470
ADH1	516	1352	1454	1500	2547	2954
ADH2	851	1312	1448	1500	2547	3026
CUP1	1036	1381	1435	1500	1686	2200
ICL1	670	1126	1157	1500	3174	3666
PDC1	545	1337	1445	1500	3192	3658
PGI1	1029	1219	1433	1500	2586	3073
PHO5	500	1381	1458	1500	2904	3345
PYC2	500	1200	1350	1500	5043	5467
TAL1	792	1310	1428	1500	2508	2906
TDH3	802	1332	1407	1500	2499	2953
TPI1	957	1310	1459	1500	2247	2861
ALD6	1002	1350	1432	1500	3003	3420
CDC19	643	1331	1393	1500	3003	3370
GAL1	949	1322	1439	1500	3087	3503
GLK1	516	1375	1430	1500	3003	3392
HIS3	1042	1410	1472	1500	2163	2606
HXT2	503	1358	1459	1500	3126	3558
LEU9	756	1364	1395	1500	3315	3724
OLE1*	500	1322	1409	1500	3033	3529
PGK1	628	1331	1416	1500	2751	3176
PSP2	865	1340	1422	1500	3644	4138
RPL28	707	1384	1456	1500	2461	2867
TEF1	921	1350	1424	1500	2877	3334
